Number of plugins,Installations
25.21%,2421
25.27%,2389
25.33%,2377
25.39%,2374
25.46%,2336
25.52%,2322
25.58%,2316
25.65%,2302
25.71%,2289
25.77%,2266
25.84%,2221
25.90%,2215
25.96%,2206
26.03%,2193
26.09%,2187
26.15%,2165
26.22%,2164
26.28%,2163
26.34%,2162
26.41%,2157
26.47%,2153
26.53%,2148
26.60%,2134
26.66%,2132
26.72%,2126
26.78%,2118
26.85%,2108
26.91%,2103
26.97%,2081
27.04%,2071
27.10%,2064
27.16%,2062
27.23%,2060
27.29%,2041
27.35%,2035
27.42%,2032
27.48%,2029
27.54%,2028
27.61%,2028
27.67%,2027
27.73%,2013
27.80%,2010
27.86%,1999
27.92%,1991
27.98%,1987
28.05%,1981
28.11%,1975
28.17%,1973
28.24%,1967
28.30%,1938
28.36%,1930
28.43%,1925
28.49%,1923
28.55%,1903
28.62%,1892
28.68%,1886
28.74%,1881
28.81%,1873
28.87%,1854
28.93%,1854
29.00%,1851
29.06%,1842
29.12%,1837
29.19%,1836
29.25%,1833
29.31%,1825
29.37%,1816
29.44%,1793
29.50%,1787
29.56%,1771
29.63%,1756
29.69%,1754
29.75%,1754
29.82%,1751
29.88%,1750
29.94%,1736
30.01%,1720
30.07%,1714
30.13%,1707
30.20%,1690
30.26%,1687
30.32%,1686
30.39%,1673
30.45%,1649
30.51%,1645
30.57%,1632
30.64%,1632
30.70%,1614
30.76%,1613
30.83%,1597
30.89%,1589
30.95%,1583
31.02%,1576
31.08%,1571
31.14%,1563
31.21%,1557
31.27%,1551
31.33%,1549
31.40%,1548
31.46%,1539
31.52%,1536
31.59%,1530
31.65%,1525
31.71%,1520
31.78%,1518
31.84%,1517
31.90%,1501
31.96%,1491
32.03%,1484
32.09%,1478
32.15%,1477
32.22%,1457
32.28%,1455
32.34%,1440
32.41%,1438
32.47%,1430
32.53%,1430
32.60%,1422
32.66%,1421
32.72%,1415
32.79%,1405
32.85%,1405
32.91%,1395
32.98%,1391
33.04%,1391
33.10%,1379
33.16%,1378
33.23%,1376
33.29%,1371
33.35%,1370
33.42%,1361
33.48%,1350
33.54%,1345
33.61%,1343
33.67%,1325
33.73%,1320
33.80%,1319
33.86%,1315
33.92%,1314
33.99%,1291
34.05%,1285
34.11%,1282
34.18%,1280
34.24%,1277
34.30%,1272
34.37%,1272
34.43%,1265
34.49%,1262
34.55%,1244
34.62%,1236
34.68%,1227
34.74%,1225
34.81%,1221
34.87%,1220
34.93%,1216
35.00%,1210
35.06%,1210
35.12%,1208
35.19%,1206
35.25%,1206
35.31%,1201
35.38%,1197
35.44%,1195
35.50%,1187
35.57%,1182
35.63%,1180
35.69%,1168
35.75%,1168
35.82%,1149
35.88%,1136
35.94%,1135
36.01%,1132
36.07%,1126
36.13%,1126
36.20%,1124
36.26%,1122
36.32%,1119
36.39%,1116
36.45%,1114
36.51%,1112
36.58%,1102
